region,user_ip,user_port,domain_name,app_type,app_sub_type,start_time,end_time,ul_data,dl_data
NA,10.83.124.18,60914,559955.com,15,999,1409649427963,1409649428488,734,329
NA,10.83.124.18,60914,559955.com,15,999,1409649429208,1409649431578,729,369
NA,10.83.124.18,60915,559955.com,15,999,1409649427963,1409649428478,734,329
NA,10.83.124.18,60915,559955.com,15,999,1409649429213,1409649431578,731,369
NA,10.83.124.18,60916,559955.com,15,999,1409649427963,1409649428478,734,329
NA,10.83.124.18,60916,559955.com,15,999,1409649429208,1409649431578,731,369
NA,10.83.124.18,60917,559955.com,15,999,1409649427963,1409649428458,733,329
NA,10.83.124.18,60917,559955.com,15,999,1409649428478,1409649428768,621,265
NA,10.83.124.18,60917,559955.com,15,999,1409649429193,1409649431568,727,369
NA,10.83.124.18,60918,559955.com,15,999,1409649427968,1409649428493,733,329
NA,10.83.124.18,60918,559955.com,15,999,1409649429208,1409649431578,730,368
NA,10.83.124.18,60919,559955.com,15,999,1409649427968,1409649428508,732,327
NA,10.83.124.18,60919,559955.com,15,999,1409649429208,1409649431578,731,369
NA,10.83.124.18,60920,559955.com,15,999,1409649427968,1409649428478,731,327
NA,10.83.124.18,60920,559955.com,15,999,1409649429213,1409649431568,731,369
133833226,10.95.140.105,34614,shop.m.taobao.com,15,3,1409649413996,1409649414166,1322,1121
133833226,10.95.140.105,34614,shop.m.taobao.com,15,3,1409649422896,1409649422986,1222,1021
133833226,10.95.140.105,34614,shop.m.taobao.com,15,3,1409649424611,1409649444243,1305,1102
NA,10.83.106.110,32809,pass.koubei.com,18,184,1409649433843,1409649434097,990,1890
NA,10.83.106.110,32812,pass.aliyun.com,18,100,1409649434523,1409649434740,990,1889
NA,10.83.106.110,32814,pass.xiami.com,6,10,1409649434923,1409649435151,989,1876
NA,10.77.47.17,38724,ju.mmstat.com,15,246,1409649417439,1409649427782,1213,1093
NA,10.77.47.17,38740,log.mmstat.com,15,246,1409649418809,1409649427774,1916,895
NA,10.78.159.229,61705,log.mmstat.com,15,246,1409649437809,1409649439304,1505,726
NA,10.78.159.229,61721,log.mmstat.com,15,246,1409649448024,1409649449593,1592,726
NA,10.78.200.76,51913,log.mmstat.com,15,246,1409649431879,1409649432109,1683,887
NA,10.78.200.76,51949,log.mmstat.com,15,246,1409649444489,1409649444695,1601,887
NA,10.90.78.182,4524,log.mmstat.com,15,246,1409649420132,1409649426712,684,508
NA,10.77.6.72,55381,wwc.taobaocdn.com,15,3,1409649399233,1409649399463,596,2261
NA,10.77.6.72,55381,wwc.taobaocdn.com,15,3,1409649400533,1409649400633,536,3053
